url,headline
/article/culture/culture/22.06.2026-great-latgalian-market-brought-together-hundreds-this-year.a652410/,Great Latgalian Market brought together hundreds this year
/article/economy/transport/22.06.2026-many-latvian-road-signs-still-point-to-russia.a652413/,Many Latvian road signs still point to Russia
/article/society/health/22.06.2026-possible-medical-misconduct-case-to-be-reviewed-in-latvia.a652415/,Possible medical misconduct case to be reviewed in Latvia
/article/society/society/22.06.2026-holidays-contribute-to-drowning-statistics-again-in-latvia.a652417/,Holidays contribute to drowning statistics again in Latvia
/article/weather/weather/22.06.2026-midsummer-week-begins-warm-and-sunny-in-latvia.a652414/,Midsummer week begins warm and sunny in Latvia
/article/economy/transport/22.06.2026-tractor-race-in-rezekne-comes-to-polices-attention.a652411/,'Tractor race' in Rēzekne comes to police's attention
/article/society/environment/22.06.2026-eagle-owlets-leave-their-nests-in-latvia.a652409/,Eagle owlets leave their nests in Latvia
/article/culture/music/21.06.2026-watch-again-20th-baltic-states-student-song-and-dance-festival-gaudeamus-grand-concert.a651832/,WATCH AGAIN: 20th Baltic states student song and dance festival 'Gaudeamus' grand concert
/article/politics/president/19.06.2026-former-president-levits-receives-germanys-highest-honour.a652211/,Former President Levits receives Germany's highest honour
/article/politics/saeima/19.06.2026-russian-belarusian-investors-opportunities-to-live-in-latvia-restricted.a652156/,"Russian, Belarusian investors' opportunities to live in Latvia restricted"
/article/politics/saeima/18.06.2026-final-latvian-parliamentary-sitting-before-summer-recess-on-thursday.a651530/,Final Latvian parliamentary sitting before summer recess on Thursday
/article/politics/election/17.06.2026-election-planners-consider-possible-air-threats-in-latvia.a651783/,Election planners consider possible air threats in Latvia
/article/politics/politics/15.06.2026-kulbergs-puts-temporary-stop-to-ict-procurements-in-latvia.a651515/,Kulbergs puts temporary stop to ICT procurements in Latvia
/article/politics/saeima/14.06.2026-saeima-deputies-expenses-have-cost-more-than-a-million-euros.a651395/,Saeima deputies' expenses have cost more than a million euros
/article/politics/election/12.06.2026-latvias-election-digital-platform-developing-smoothly-says-agency.a651265/,"Election digital platform developing smoothly, says agency"
/article/politics/saeima/12.06.2026-latvian-saeima-nays-banning-cage-raised-chickens.a651191/,Latvian Saeima nays banning cage-raised chickens
/article/society/health/22.06.2026-possible-medical-misconduct-case-to-be-reviewed-in-latvia.a652415/,Possible medical misconduct case to be reviewed in Latvia
/article/society/society/22.06.2026-holidays-contribute-to-drowning-statistics-again-in-latvia.a652417/,Holidays contribute to drowning statistics again in Latvia
/article/society/environment/22.06.2026-eagle-owlets-leave-their-nests-in-latvia.a652409/,Eagle owlets leave their nests in Latvia
/article/society/crime/19.06.2026-digital-television-case-to-be-reviewed-again-in-court.a652226/,'Digital television' case to be reviewed again in court
